tid,competition_name,type,win,goals_for,goals_against,game_count,team_name,tricode,pp,pk,ppgf,win_pct,avg_gf,avg_ga
5,2014 NHL Regular Season,2,45.0,251.0,209.0,81,Washington Capitals,WSH,351,328,75.0,0.5555555555555556,2.825894304549876,2.825894304549876
5,2015 NHL Playoff,3,6.0,28.0,22.0,12,Washington Capitals,WSH,54,66,22.0,0.5,2.825894304549876,2.825894304549876
5,2015 NHL Regular Season,2,54.5,245.0,186.0,78,Washington Capitals,WSH,304,303,67.0,0.6987179487179487,2.825894304549876,2.825894304549876
5,2016 NHL Playoff,3,6.0,32.0,34.0,12,Washington Capitals,WSH,52,49,10.0,0.5,2.825894304549876,2.825894304549876
5,2016 NHL Regular Season,2,54.5,265.0,186.0,81,Washington Capitals,WSH,329,306,67.0,0.6728395061728395,2.825894304549876,2.825894304549876
5,2017 NHL Playoff,3,16.0,86.0,61.0,24,Washington Capitals,WSH,95,97,22.0,0.6666666666666666,2.825894304549876,2.825894304549876
5,2017 NHL Regular Season,2,48.0,255.0,240.0,81,Washington Capitals,WSH,327,297,67.0,0.5925925925925926,2.825894304549876,2.825894304549876
6,2010 NHL Playoff,3,3.0,22.0,16.0,7,Chicago Blackhawks,CHI,27,39,6.0,0.42857142857142855,2.825894304549876,2.825894304549876
6,2010 NHL Regular Season,2,41.5,246.0,222.0,78,Chicago Blackhawks,CHI,296,310,93.0,0.532051282051282,2.825894304549876,2.825894304549876
6,2011 NHL Playoff,3,2.0,12.0,17.0,6,Chicago Blackhawks,CHI,24,23,1.0,0.3333333333333333,2.825894304549876,2.825894304549876
6,2011 NHL Regular Season,2,24.0,133.0,120.0,40,Chicago Blackhawks,CHI,158,177,36.0,0.6,2.825894304549876,2.825894304549876
6,2012 NHL Playoff,3,16.0,64.0,48.0,23,Chicago Blackhawks,CHI,96,90,9.0,0.6956521739130435,2.825894304549876,2.825894304549876
6,2012 NHL Regular Season,2,36.0,165.0,112.0,48,Chicago Blackhawks,CHI,185,192,38.0,0.75,2.825894304549876,2.825894304549876
6,2013 NHL Playoff,3,9.5,53.0,54.0,18,Chicago Blackhawks,CHI,70,62,12.0,0.5277777777777778,2.825894304549876,2.825894304549876
6,2013 NHL Regular Season,2,46.5,278.0,231.0,82,Chicago Blackhawks,CHI,290,305,73.0,0.5670731707317073,2.825894304549876,2.825894304549876
6,2014 NHL Playoff,3,16.0,69.0,60.0,23,Chicago Blackhawks,CHI,71,74,15.0,0.6956521739130435,2.825894304549876,2.825894304549876
6,2014 NHL Regular Season,2,46.5,232.0,189.0,80,Chicago Blackhawks,CHI,252,307,53.0,0.58125,2.825894304549876,2.825894304549876
6,2015 NHL Playoff,3,3.0,20.0,19.0,7,Chicago Blackhawks,CHI,26,26,6.0,0.42857142857142855,2.825894304549876,2.825894304549876
6,2015 NHL Regular Season,2,44.5,228.0,207.0,80,Chicago Blackhawks,CHI,267,297,61.0,0.55625,2.825894304549876,2.825894304549876
6,2016 NHL Playoff,3,0.0,3.0,13.0,4,Chicago Blackhawks,CHI,11,10,2.0,0.0,2.825894304549876,2.825894304549876
6,2016 NHL Regular Season,2,50.0,248.0,215.0,82,Chicago Blackhawks,CHI,251,269,46.0,0.6097560975609756,2.825894304549876,2.825894304549876
6,2017 NHL Regular Season,2,33.0,225.0,248.0,80,Chicago Blackhawks,CHI,268,303,49.0,0.4125,2.825894304549876,2.825894304549876
7,2010 NHL Regular Season,2,34.5,237.0,230.0,77,St. Louis Blues,STL,387,384,39.0,0.44805194805194803,2.825894304549876,2.825894304549876
7,2011 NHL Playoff,3,4.0,20.0,23.0,9,St. Louis Blues,STL,58,55,6.0,0.4444444444444444,2.825894304549876,2.825894304549876
7,2011 NHL Regular Season,2,23.0,104.0,90.0,40,St. Louis Blues,STL,186,181,26.0,0.575,2.825894304549876,2.825894304549876
7,2012 NHL Playoff,3,2.0,10.0,12.0,6,St. Louis Blues,STL,19,20,2.0,0.3333333333333333,2.825894304549876,2.825894304549876
7,2012 NHL Regular Season,2,29.0,137.0,121.0,48,St. Louis Blues,STL,211,209,29.0,0.6041666666666666,2.825894304549876,2.825894304549876
7,2013 NHL Playoff,3,2.0,14.0,20.0,6,St. Louis Blues,STL,25,32,2.0,0.3333333333333333,2.825894304549876,2.825894304549876
7,2013 NHL Regular Season,2,52.0,260.0,200.0,82,St. Louis Blues,STL,401,394,81.0,0.6341463414634146,2.825894304549876,2.825894304549876
7,2014 NHL Playoff,3,2.0,14.0,17.0,6,St. Louis Blues,STL,16,13,2.0,0.3333333333333333,2.825894304549876,2.825894304549876
7,2014 NHL Regular Season,2,49.0,243.0,199.0,79,St. Louis Blues,STL,347,332,63.0,0.620253164556962,2.825894304549876,2.825894304549876
7,2015 NHL Playoff,3,10.0,57.0,56.0,20,St. Louis Blues,STL,77,74,15.0,0.5,2.825894304549876,2.825894304549876
7,2015 NHL Regular Season,2,49.0,232.0,205.0,81,St. Louis Blues,STL,345,310,57.0,0.6049382716049383,2.825894304549876,2.825894304549876
7,2016 NHL Playoff,3,6.0,22.0,23.0,11,St. Louis Blues,STL,46,41,3.0,0.5454545454545454,2.825894304549876,2.825894304549876
7,2016 NHL Regular Season,2,46.0,236.0,217.0,81,St. Louis Blues,STL,311,289,56.0,0.5679012345679012,2.825894304549876,2.825894304549876
7,2017 NHL Regular Season,2,42.5,223.0,215.0,79,St. Louis Blues,STL,259,281,43.0,0.5379746835443038,2.825894304549876,2.825894304549876
8,2010 NHL Playoff,3,3.0,14.0,22.0,7,Pittsburgh Penguins,PIT,33,40,4.0,0.42857142857142855,2.825894304549876,2.825894304549876
8,2010 NHL Regular Season,2,49.0,242.0,195.0,81,Pittsburgh Penguins,PIT,457,444,62.0,0.6049382716049383,2.825894304549876,2.825894304549876
8,2011 NHL Playoff,3,2.0,26.0,30.0,6,Pittsburgh Penguins,PIT,38,46,21.0,0.3333333333333333,2.825894304549876,2.825894304549876
8,2011 NHL Regular Season,2,20.0,123.0,104.0,38,Pittsburgh Penguins,PIT,176,190,40.0,0.5263157894736842,2.825894304549876,2.825894304549876
8,2012 NHL Playoff,3,8.0,49.0,40.0,15,Pittsburgh Penguins,PIT,75,85,13.0,0.5333333333333333,2.825894304549876,2.825894304549876
8,2012 NHL Regular Season,2,35.5,165.0,121.0,48,Pittsburgh Penguins,PIT,222,226,57.0,0.7395833333333334,2.825894304549876,2.825894304549876
8,2013 NHL Playoff,3,7.0,35.0,33.0,13,Pittsburgh Penguins,PIT,62,60,10.0,0.5384615384615384,2.825894304549876,2.825894304549876
8,2013 NHL Regular Season,2,49.0,241.0,202.0,80,Pittsburgh Penguins,PIT,333,356,79.0,0.6125,2.825894304549876,2.825894304549876
8,2014 NHL Playoff,3,1.0,8.0,11.0,5,Pittsburgh Penguins,PIT,23,15,2.0,0.2,2.825894304549876,2.825894304549876
8,2014 NHL Regular Season,2,43.0,229.0,218.0,82,Pittsburgh Penguins,PIT,407,380,54.0,0.524390243902439,2.825894304549876,2.825894304549876
8,2015 NHL Playoff,3,16.0,73.0,54.0,24,Pittsburgh Penguins,PIT,84,94,6.0,0.6666666666666666,2.825894304549876,2.825894304549876
8,2015 NHL Regular Season,2,46.5,245.0,204.0,81,Pittsburgh Penguins,PIT,313,320,42.0,0.5740740740740741,2.825894304549876,2.825894304549876
8,2016 NHL Playoff,3,16.5,74.0,47.0,23,Pittsburgh Penguins,PIT,97,105,8.0,0.717391304347826,2.825894304549876,2.825894304549876
8,2016 NHL Regular Season,2,47.5,270.0,227.0,79,Pittsburgh Penguins,PIT,294,298,32.0,0.6012658227848101,2.825894304549876,2.825894304549876
8,2017 NHL Playoff,3,6.0,42.0,34.0,12,Pittsburgh Penguins,PIT,49,58,10.0,0.5,2.825894304549876,2.825894304549876
8,2017 NHL Regular Season,2,46.0,271.0,249.0,82,Pittsburgh Penguins,PIT,326,317,47.0,0.5609756097560976,2.825894304549876,2.825894304549876
10,2010 NHL Regular Season,2,25.0,194.0,267.0,80,Edmonton Oilers,EDM,425,404,63.0,0.3125,2.825894304549876,2.825894304549876
10,2011 NHL Regular Season,2,16.0,115.0,120.0,40,Edmonton Oilers,EDM,205,198,46.0,0.4,2.825894304549876,2.825894304549876
10,2012 NHL Regular Season,2,19.0,126.0,133.0,47,Edmonton Oilers,EDM,211,206,45.0,0.40425531914893614,2.825894304549876,2.825894304549876
10,2013 NHL Regular Season,2,27.5,201.0,269.0,80,Edmonton Oilers,EDM,370,365,54.0,0.34375,2.825894304549876,2.825894304549876
10,2014 NHL Regular Season,2,23.5,198.0,283.0,80,Edmonton Oilers,EDM,267,277,45.0,0.29375,2.825894304549876,2.825894304549876
10,2015 NHL Regular Season,2,30.0,203.0,245.0,80,Edmonton Oilers,EDM,314,298,47.0,0.375,2.825894304549876,2.825894304549876
10,2016 NHL Playoff,3,6.5,35.0,35.0,13,Edmonton Oilers,EDM,58,52,8.0,0.5,2.825894304549876,2.825894304549876
10,2016 NHL Regular Season,2,46.0,245.0,211.0,80,Edmonton Oilers,EDM,289,310,55.0,0.575,2.825894304549876,2.825894304549876
10,2017 NHL Regular Season,2,35.0,231.0,263.0,80,Edmonton Oilers,EDM,289,255,28.0,0.4375,2.825894304549876,2.825894304549876
11,2010 NHL Regular Season,2,40.5,250.0,241.0,80,Calgary Flames,CGY,343,374,90.0,0.50625,2.825894304549876,2.825894304549876
11,2011 NHL Regular Season,2,17.0,97.0,122.0,41,Calgary Flames,CGY,179,172,30.0,0.4146341463414634,2.825894304549876,2.825894304549876
11,2012 NHL Regular Season,2,19.0,130.0,161.0,48,Calgary Flames,CGY,194,194,21.0,0.3958333333333333,2.825894304549876,2.825894304549876
11,2013 NHL Regular Season,2,34.5,211.0,241.0,80,Calgary Flames,CGY,300,311,28.0,0.43125,2.825894304549876,2.825894304549876
11,2014 NHL Playoff,3,5.0,27.0,33.0,11,Calgary Flames,CGY,51,53,7.0,0.45454545454545453,2.825894304549876,2.825894304549876
11,2014 NHL Regular Season,2,42.5,236.0,217.0,80,Calgary Flames,CGY,247,311,58.0,0.53125,2.825894304549876,2.825894304549876
11,2015 NHL Regular Season,2,30.5,208.0,238.0,75,Calgary Flames,CGY,262,301,47.0,0.4066666666666667,2.825894304549876,2.825894304549876
11,2016 NHL Playoff,3,0.0,9.0,14.0,4,Calgary Flames,CGY,16,20,6.0,0.0,2.825894304549876,2.825894304549876
11,2016 NHL Regular Season,2,44.5,223.0,217.0,81,Calgary Flames,CGY,363,337,58.0,0.5493827160493827,2.825894304549876,2.825894304549876
11,2017 NHL Regular Season,2,37.0,223.0,255.0,82,Calgary Flames,CGY,353,350,47.0,0.45121951219512196,2.825894304549876,2.825894304549876
