shoot_player,shot_count,avg_shot_game
Ivica Zubac,238,6.611111111111111
J.J. Barea,343,9.8
J.R. Smith,356,8.682926829268293
JJ Redick,891,11.423076923076923
JaMychal Green,499,6.48051948051948
JaVale McGee,319,4.430555555555555
Jabari Parker,814,15.96078431372549
Jae Crowder,720,10.0
Jahlil Okafor,470,9.4
Jake Layman,89,3.7083333333333335
Jakob Poeltl,115,2.6136363636363638
Jamal Crawford,870,10.609756097560975
Jamal Murray,729,9.0
Jameer Nelson,604,8.053333333333333
James Ennis III,321,5.262295081967213
James Harden,1532,18.91358024691358
James Johnson,762,10.16
James Jones,100,3.125
James Michael McAdoo,118,2.8095238095238093
James Young,58,2.6363636363636362
Jared Dudley,346,5.580645161290323
Jared Sullinger,48,5.333333333333333
Jarell Eddie,19,6.333333333333333
Jarell Martin,152,4.0
Jarnell Stokes,1,1.0
Jarrett Jack,3,3.0
Jarrod Uthoff,38,4.75
Jason Smith,330,4.52054794520548
Jason Terry,243,3.375
Jaylen Brown,424,5.578947368421052
Jeff Green,558,8.08695652173913
Jeff Teague,908,11.073170731707316
Jeff Withey,103,2.641025641025641
Jerami Grant,328,4.4324324324324325
Jeremy Lamb,491,7.919354838709677
Jeremy Lin,400,11.11111111111111
Jerian Grant,301,5.016666666666667
Jerryd Bayless,32,10.666666666666666
Jimmy Butler,1252,16.473684210526315
Joakim Noah,202,4.391304347826087
Jodie Meeks,256,7.111111111111111
Joe Harris,362,6.961538461538462
Joe Ingles,451,5.567901234567901
Joe Johnson,625,8.012820512820513
Joe Young,72,2.769230769230769
Joel Anthony,16,2.0
Joel Bolomboy,16,2.2857142857142856
Joel Embiid,429,13.838709677419354
Joffrey Lauvergne,335,4.926470588235294
John Henson,310,5.535714285714286
John Jenkins,5,1.25
John Lucas III,4,4.0
John Wall,1434,18.384615384615383
Johnny O'Bryant III,30,3.0
Jon Leuer,647,8.743243243243244
Jonas Jerebko,262,3.493333333333333
Jonas Valanciunas,702,8.775
Jonathan Gibson,95,7.3076923076923075
Jonathon Simmons,421,6.101449275362318
Jordan Clarkson,1069,13.036585365853659
Jordan Crawford,218,11.473684210526315
Jordan Farmar,12,6.0
Jordan Hill,13,3.25
Jordan McRae,150,5.357142857142857
Jordan Mickey,34,2.0
Jose Calderon,134,3.6216216216216215
Josh Huestis,11,5.5
Josh McRoberts,118,5.363636363636363
Josh Richardson,513,9.679245283018869
Jrue Holiday,894,13.343283582089553
Juancho Hernangomez,223,4.551020408163265
Julius Randle,774,10.45945945945946
Justin Anderson,436,6.228571428571429
Justin Hamilton,379,6.015873015873016
Justin Harper,12,4.0
Justin Holiday,538,6.560975609756097
Justise Winslow,226,12.555555555555555
Jusuf Nurkic,534,8.215384615384615
KJ McDaniels,170,4.358974358974359
Karl-Anthony Towns,1479,18.036585365853657
