shoot_player,conse_shot_hit,average_lag_hit,conditional_prob,average_hit,diff_prob,shot_count
A.J. Hammons,0.1481481481481481,0.4074074074074074,0.3636363636363636,0.4047619047619047,-0.041125541125541,42
Aaron Brooks,0.1848739495798319,0.4369747899159664,0.4230769230769231,0.4033333333333333,0.0197435897435897,300
Aaron Gordon,0.2040816326530612,0.4604591836734694,0.4432132963988919,0.4548611111111111,-0.0116478147122191,864
Adreian Payne,0.1538461538461538,0.4358974358974359,0.3529411764705882,0.4259259259259259,-0.0729847494553376,54
Al Horford,0.2073669849931787,0.4693042291950887,0.441860465116279,0.4731585518102372,-0.0312980866939581,801
Al Jefferson,0.2266009852216748,0.5172413793103449,0.4380952380952381,0.4989384288747346,-0.0608431907794965,471
Al-Farouq Aminu,0.1703703703703703,0.4024691358024691,0.4233128834355828,0.3927038626609442,0.0306090207746386,466
Alan Anderson,0.1346153846153846,0.4230769230769231,0.3181818181818182,0.375,-0.0568181818181818,80
Alan Williams,0.2666666666666666,0.5244444444444445,0.5084745762711864,0.5168539325842697,-0.0083793563130832,267
Alec Burks,0.1594202898550724,0.391304347826087,0.4074074074074073,0.3991935483870967,0.0082138590203106,248
Alex Abrines,0.1775362318840579,0.4021739130434782,0.4414414414414415,0.3929618768328445,0.0484795646085969,341
Alex Len,0.2467532467532467,0.509090909090909,0.4846938775510204,0.4978354978354978,-0.0131416202844773,462
Alex Poythress,0.2291666666666666,0.4583333333333333,0.5,0.4629629629629629,0.037037037037037,54
Alexis Ajinca,0.2482269503546099,0.5390070921985816,0.4605263157894737,0.5,-0.0394736842105263,178
Allen Crabbe,0.2323943661971831,0.4841549295774648,0.48,0.4683153013910355,0.0116846986089644,647
Alonzo Gee,0.0,0.2857142857142857,0.0,0.2142857142857142,-0.2142857142857142,14
Amir Johnson,0.3517241379310344,0.5896551724137931,0.5964912280701754,0.5772357723577236,0.0192554557124517,369
Anderson Varejao,0.0,0.25,0.0,0.3571428571428571,-0.3571428571428571,14
Andre Drummond,0.2886473429951691,0.5217391304347826,0.5532407407407408,0.5302530253025303,0.0229877154382105,909
Andre Iguodala,0.2920353982300885,0.5398230088495575,0.5409836065573771,0.5277108433734939,0.0132727631838831,415
Andre Roberson,0.2213541666666666,0.4765625,0.4644808743169398,0.4643628509719222,0.0001180233450176,463
Andrew Bogut,0.2241379310344827,0.4310344827586206,0.52,0.4691358024691358,0.0508641975308642,81
Andrew Harrison,0.0824742268041237,0.3264604810996563,0.2526315789473684,0.325,-0.0723684210526315,360
Andrew Nicholson,0.1038961038961039,0.4025974025974026,0.2580645161290322,0.3873873873873873,-0.129322871258355,111
Andrew Wiggins,0.1991924629878869,0.4528936742934051,0.4398216939078752,0.4521683673469387,-0.0123466734390634,1568
Anthony Bennett,0.1805555555555555,0.4027777777777778,0.4482758620689654,0.4130434782608695,0.0352323838080959,92
Anthony Brown,0.1282051282051282,0.358974358974359,0.3571428571428571,0.36,-0.0028571428571428,50
Anthony Davis,0.2406896551724137,0.503448275862069,0.4780821917808219,0.5049180327868853,-0.0268358410060634,1525
Anthony Morrow,0.1470588235294117,0.4166666666666667,0.3529411764705882,0.3904382470119522,-0.0374970705413639,251
Anthony Tolliver,0.2076124567474048,0.4671280276816609,0.4444444444444444,0.4415954415954416,0.0028490028490028,351
Archie Goodwin,0.3076923076923077,0.5576923076923077,0.5517241379310345,0.5454545454545454,0.006269592476489,66
Aron Baynes,0.2714285714285714,0.5333333333333333,0.5089285714285714,0.5125448028673835,-0.003616231438812,279
Arron Afflalo,0.1972222222222222,0.45,0.4382716049382715,0.4404761904761904,-0.0022045855379188,420
Austin Rivers,0.2070015220700152,0.45662100456621,0.4533333333333333,0.4418604651162791,0.0114728682170542,731
Avery Bradley,0.2097222222222222,0.4694444444444444,0.4467455621301775,0.4632258064516129,-0.0164802443214353,775
Axel Toupane,0.5,0.6666666666666666,0.75,0.5555555555555556,0.1944444444444444,9
Ben McLemore,0.1955922865013774,0.4517906336088154,0.4329268292682927,0.4295942720763723,0.0033325571919203,419
Beno Udrih,0.2576687116564417,0.4846625766871165,0.5316455696202532,0.467005076142132,0.0646404934781212,197
Bismack Biyombo,0.2813688212927757,0.532319391634981,0.5285714285714286,0.5249266862170088,0.0036447423544198,341
Blake Griffin,0.2439560439560439,0.510989010989011,0.4774193548387097,0.4933058702368692,-0.0158865153981595,971
Boban Marjanovic,0.29,0.55,0.5272727272727272,0.5454545454545454,-0.0181818181818181,132
Bobby Brown,0.175,0.45,0.3888888888888888,0.3833333333333333,0.0055555555555555,60
Bobby Portis,0.2547770700636942,0.4904458598726114,0.5194805194805194,0.488,0.0314805194805194,375
Bojan Bogdanovic,0.1832460732984293,0.4476439790575916,0.4093567251461988,0.4449704142011834,-0.0356136890549845,845
Boris Diaw,0.2490272373540856,0.4708171206225681,0.5289256198347108,0.4464831804281345,0.0824424394065762,327
Bradley Beal,0.2331189710610932,0.4887459807073955,0.4769736842105263,0.4822104466313399,-0.0052367624208135,1321
Brandan Wright,0.4074074074074074,0.6388888888888888,0.6376811594202899,0.6148148148148148,0.022866344605475,135
