shoot_player,conse_shot_hit,average_lag_hit,conditional_prob,average_hit,diff_prob,shot_count
A.J. Hammons,0.14814814814814814,0.4074074074074074,0.36363636363636365,0.4047619047619047,-0.041125541125541065,42
Aaron Brooks,0.18487394957983194,0.4369747899159664,0.4230769230769231,0.4033333333333333,0.01974358974358975,300
Aaron Gordon,0.20408163265306123,0.4604591836734694,0.44321329639889195,0.4548611111111111,-0.011647814712219151,864
Adreian Payne,0.15384615384615385,0.4358974358974359,0.35294117647058826,0.4259259259259259,-0.07298474945533762,54
Al Horford,0.2073669849931787,0.4693042291950887,0.441860465116279,0.4731585518102372,-0.03129808669395817,801
Al Jefferson,0.22660098522167488,0.5172413793103449,0.4380952380952381,0.4989384288747346,-0.060843190779496514,471
Al-Farouq Aminu,0.17037037037037037,0.4024691358024691,0.4233128834355828,0.3927038626609442,0.030609020774638618,466
Alan Anderson,0.1346153846153846,0.4230769230769231,0.3181818181818182,0.375,-0.05681818181818182,80
Alan Williams,0.26666666666666666,0.5244444444444445,0.5084745762711864,0.5168539325842697,-0.008379356313083286,267
Alec Burks,0.15942028985507245,0.391304347826087,0.40740740740740733,0.3991935483870967,0.008213859020310632,248
Alex Abrines,0.17753623188405798,0.40217391304347827,0.4414414414414415,0.3929618768328445,0.04847956460859698,341
Alex Len,0.24675324675324675,0.509090909090909,0.48469387755102045,0.4978354978354978,-0.013141620284477351,462
Alex Poythress,0.22916666666666666,0.4583333333333333,0.5,0.4629629629629629,0.03703703703703709,54
Alexis Ajinca,0.24822695035460993,0.5390070921985816,0.4605263157894737,0.5,-0.03947368421052633,178
Allen Crabbe,0.2323943661971831,0.4841549295774648,0.48,0.4683153013910355,0.011684698608964483,647
Alonzo Gee,0.0,0.2857142857142857,0.0,0.2142857142857142,-0.2142857142857142,14
Amir Johnson,0.35172413793103446,0.5896551724137931,0.5964912280701754,0.5772357723577236,0.019255455712451797,369
Anderson Varejao,0.0,0.25,0.0,0.3571428571428571,-0.3571428571428571,14
Andre Drummond,0.2886473429951691,0.5217391304347826,0.5532407407407408,0.5302530253025303,0.022987715438210543,909
Andre Iguodala,0.2920353982300885,0.5398230088495575,0.5409836065573771,0.5277108433734939,0.013272763183883152,415
Andre Roberson,0.22135416666666666,0.4765625,0.46448087431693985,0.4643628509719222,0.00011802334501764822,463
Andrew Bogut,0.22413793103448276,0.43103448275862066,0.52,0.4691358024691358,0.05086419753086424,81
Andrew Harrison,0.08247422680412371,0.32646048109965636,0.25263157894736843,0.325,-0.07236842105263158,360
Andrew Nicholson,0.1038961038961039,0.4025974025974026,0.25806451612903225,0.3873873873873873,-0.12932287125835507,111
Andrew Wiggins,0.19919246298788695,0.4528936742934051,0.43982169390787523,0.4521683673469387,-0.012346673439063482,1568
Anthony Bennett,0.18055555555555555,0.4027777777777778,0.44827586206896547,0.4130434782608695,0.03523238380809596,92
Anthony Brown,0.1282051282051282,0.358974358974359,0.3571428571428571,0.36,-0.0028571428571428914,50
Anthony Davis,0.24068965517241378,0.503448275862069,0.4780821917808219,0.5049180327868853,-0.0268358410060634,1525
Anthony Morrow,0.14705882352941177,0.4166666666666667,0.35294117647058826,0.3904382470119522,-0.03749707054136392,251
Anthony Tolliver,0.20761245674740483,0.4671280276816609,0.4444444444444444,0.4415954415954416,0.002849002849002802,351
Archie Goodwin,0.3076923076923077,0.5576923076923077,0.5517241379310345,0.5454545454545454,0.006269592476489061,66
Aron Baynes,0.2714285714285714,0.5333333333333333,0.5089285714285714,0.5125448028673835,-0.0036162314388120675,279
Arron Afflalo,0.19722222222222222,0.45,0.43827160493827155,0.4404761904761904,-0.0022045855379188573,420
Austin Rivers,0.2070015220700152,0.45662100456621,0.4533333333333333,0.4418604651162791,0.011472868217054233,731
Avery Bradley,0.20972222222222223,0.46944444444444444,0.4467455621301775,0.4632258064516129,-0.016480244321435356,775
Axel Toupane,0.5,0.6666666666666666,0.75,0.5555555555555556,0.19444444444444442,9
Ben McLemore,0.19559228650137742,0.45179063360881544,0.4329268292682927,0.4295942720763723,0.0033325571919203822,419
Beno Udrih,0.25766871165644173,0.48466257668711654,0.5316455696202532,0.467005076142132,0.06464049347812123,197
Bismack Biyombo,0.2813688212927757,0.532319391634981,0.5285714285714286,0.5249266862170088,0.0036447423544198054,341
Blake Griffin,0.24395604395604395,0.510989010989011,0.4774193548387097,0.4933058702368692,-0.01588651539815955,971
Boban Marjanovic,0.29,0.55,0.5272727272727272,0.5454545454545454,-0.018181818181818188,132
Bobby Brown,0.175,0.45,0.38888888888888884,0.3833333333333333,0.005555555555555536,60
Bobby Portis,0.25477707006369427,0.49044585987261147,0.5194805194805194,0.488,0.03148051948051944,375
Bojan Bogdanovic,0.18324607329842932,0.4476439790575916,0.4093567251461988,0.4449704142011834,-0.035613689054984576,845
Boris Diaw,0.2490272373540856,0.4708171206225681,0.5289256198347108,0.4464831804281345,0.08244243940657625,327
Bradley Beal,0.23311897106109325,0.4887459807073955,0.4769736842105263,0.4822104466313399,-0.005236762420813557,1321
Brandan Wright,0.4074074074074074,0.6388888888888888,0.6376811594202899,0.6148148148148148,0.022866344605475097,135
Brandon Bass,0.38235294117647056,0.5882352941176471,0.6499999999999999,0.5752688172043011,0.07473118279569879,186
Brandon Ingram,0.16447368421052633,0.4128289473684211,0.39840637450199207,0.4017467248908297,-0.0033403503888376207,687
Brandon Jennings,0.14537444933920704,0.3876651982378855,0.37499999999999994,0.3595505617977528,0.015449438202247145,534
Brandon Knight,0.16382978723404254,0.41702127659574467,0.39285714285714285,0.3988549618320611,-0.005997818974918245,524
Brandon Rush,0.1958041958041958,0.40559440559440557,0.4827586206896552,0.3723404255319149,0.11041819515774032,188
Brian Roberts,0.11764705882352941,0.43529411764705883,0.2702702702702703,0.3770491803278688,-0.10677891005759854,122
Briante Weber,0.1951219512195122,0.4146341463414634,0.4705882352941177,0.4166666666666667,0.05392156862745101,60
Brice Johnson,0.0,0.25,0.0,0.2857142857142857,-0.2857142857142857,7
Brook Lopez,0.21766848816029144,0.4763205828779599,0.4569789674952199,0.4731457800511509,-0.016166812555931,1173
Bruno Caboclo,0.09090909090909091,0.36363636363636365,0.25,0.375,-0.125,16
Bryn Forbes,0.14666666666666667,0.38666666666666666,0.37931034482758624,0.3636363636363636,0.015673981191222652,99
Buddy Hield,0.18221574344023322,0.44169096209912534,0.41254125412541254,0.42578125,-0.013239995874587462,768
CJ McCollum,0.2432035268185158,0.4871418074944893,0.49924585218702866,0.4802220680083275,0.019023784178701153,1441
CJ Miles,0.1786339754816112,0.44308231173380036,0.40316205533596833,0.4343122102009273,-0.03115015486495898,647
CJ Watson,0.15263157894736842,0.4052631578947368,0.37662337662337664,0.3870967741935484,-0.010473397570171739,248
CJ Wilcox,0.058823529411764705,0.35294117647058826,0.16666666666666666,0.2580645161290322,-0.09139784946236554,31
Cameron Payne,0.12883435582822086,0.3619631901840491,0.3559322033898305,0.3316062176165803,0.02432598577325018,193
Caris Levert,0.21052631578947367,0.44891640866873067,0.46896551724137925,0.45,0.018965517241379237,380
Carmelo Anthony,0.1899696048632219,0.44148936170212766,0.43029259896729777,0.4330935251798561,-0.002800926212558341,1390
Chandler Parsons,0.1276595744680851,0.35638297872340424,0.3582089552238806,0.3378378378378378,0.020371117386042803,222
Channing Frye,0.18385650224215247,0.47085201793721976,0.3904761904761905,0.4576923076923077,-0.0672161172161172,520
