shoot_player,shot_count
Luke Babbitt,281
Luol Deng,425
Malachi Richardson,68
Malcolm Brogdon,634
Malcolm Delaney,387
Malik Beasley,73
Manny Harris,13
Manu Ginobili,439
Marc Gasol,1160
Marcelo Huertas,68
Marcin Gortat,674
Marco Belinelli,615
Marcus Georges-Hunt,7
Marcus Morris,1007
Marcus Smart,748
Marcus Thornton,210
Mario Hezonja,330
Markieff Morris,889
Marquese Chriss,632
Marreese Speights,546
Marshall Plumlee,29
Marvin Williams,703
Mason Plumlee,625
Matt Barnes,473
Matthew Dellavedova,534
Maurice Harkless,625
Maurice Ndour,84
Metta World Peace,68
Meyers Leonard,379
Michael Beasley,405
Michael Carter-Williams,306
Michael Gbinije,10
Michael Kidd-Gilchrist,618
Mike Conley,1009
Mike Dunleavy,220
Mike Miller,23
Mike Muscala,337
Mike Scott,58
Mike Tobey,4
Miles Plumlee,92
Mindaugas Kuzminskas,368
Mirza Teletovic,418
Monta Ellis,557
Montrezl Harrell,345
Myles Turner,870
Nemanja Bjelica,356
Nene Hilario,397
Nerlens Noel,310
Nick Collison,23
Nick Young,632
Nicolas Batum,974
Nicolas Brussino,141
Nicolas Laprovittola,47
Nik Stauskas,633
Nikola Jokic,856
Nikola Mirotic,624
Nikola Vucevic,1033
Noah Vonleh,270
Norman Powell,507
Norris Cole,52
Okaro White,87
Omer Asik,65
Omri Casspi,165
Otto Porter Jr.,803
P.J. Tucker,481
Pascal Siakam,205
Pat Connaughton,72
Patricio Garino,7
Patrick Beverley,543
Patrick McCaw,245
Patrick Patterson,384
Patty Mills,621
Pau Gasol,604
Paul George,1348
Paul Millsap,972
Paul Pierce,70
Paul Zipser,221
Pierre Jackson,39
Quincy Acy,170
Quinn Cook,65
RJ Hunter,1
Rajon Rondo,561
Rakeem Christmas,42
Ramon Sessions,263
Randy Foye,325
Rashad Vaughn,156
Raul Neto,92
Raymond Felton,514
Reggie Bullock,128
Reggie Jackson,677
Reggie Williams,23
Richard Jefferson,343
Richaun Holmes,412
Ricky Rubio,648
Robert Covington,733
Robin Lopez,775
Rodney Hood,665
Rodney McGruder,459
Rodney Stuckey,244
Ron Baker,217
Rondae Hollis-Jefferson,541
Ronnie Price,24
Roy Hibbert,147
Rudy Gay,442
Rudy Gobert,623
Russell Westbrook,1940
Ryan Anderson,773
Ryan Kelly,28
Salah Mejri,137
Sam Dekker,429
Sasha Vujacic,136
Sean Kilpatrick,734
Semaj Christon,224
Serge Ibaka,982
Sergio Rodriguez,536
Seth Curry,702
Shabazz Muhammad,598
Shabazz Napier,183
Shaun Livingston,314
Shawn Long,108
Sheldon McClellan,75
Shelvin Mack,381
Skal Labissiere,217
Solomon Hill,476
Spencer Dinwiddie,303
Spencer Hawes,277
Stanley Johnson,365
Stephen Curry,1444
Stephen Zimmerman,31
Steve Novak,7
Steven Adams,654
TJ McConnell,512
TJ Warren,813
Taj Gibson,708
Tarik Black,293
Taurean Prince,286
Terrence Jones,491
Terrence Ross,746
Terry Rozier,411
Thabo Sefolosha,394
Thaddeus Young,687
Thomas Robinson,196
Thon Maker,181
Tiago Splitter,31
Tim Frazier,404
Tim Hardaway Jr.,912
Tim Quarterman,29
Timofey Mozgov,328
Timothe Luwawu-Cabarrot,360
Tobias Harris,1064
Tomas Satoransky,146
Toney Douglas,117
Tony Allen,595
Tony Parker,569
Tony Snell,542
Treveon Graham,40
Trevor Ariza,797
Trevor Booker,591
Trey Burke,254
Trey Lyles,439
Tristan Thompson,437
Troy Daniels,496
Troy Williams,154
Ty Lawson,522
Tyler Ennis,208
Tyler Johnson,829
Tyler Ulis,438
Tyler Zeller,158
Tyreke Evans,370
Tyson Chandler,228
Tyus Jones,181
Udonis Haslem,23
Victor Oladipo,929
Vince Carter,490
Wade Baldwin IV,114
Walter Tavares,5
Wayne Ellington,555
Wayne Selden,58
Wesley Johnson,200
Wesley Matthews,847
Will Barton,667
Willie Cauley-Stein,481
Willie Reed,285
Wilson Chandler,940
Yogi Ferrell,394
Zach LaVine,710
Zach Randolph,964
Zaza Pachulia,306
