shoot_player,average_hit
Jake Layman,0.29213483146067415
Jakob Poeltl,0.5826086956521739
Jamal Crawford,0.4126436781609195
Jamal Murray,0.4046639231824417
Jameer Nelson,0.44370860927152317
James Ennis III,0.45482866043613707
James Harden,0.43994778067885115
James Johnson,0.48293963254593175
James Jones,0.47
James Michael McAdoo,0.5254237288135594
James Young,0.43103448275862066
Jared Dudley,0.45375722543352603
Jared Sullinger,0.3125
Jarell Eddie,0.3157894736842105
Jarell Martin,0.3815789473684211
Jarnell Stokes,1.0
Jarrett Jack,0.6666666666666666
Jarrod Uthoff,0.42105263157894735
Jason Smith,0.5272727272727272
Jason Terry,0.43209876543209874
Jaylen Brown,0.4528301886792453
Jeff Green,0.3942652329749104
Jeff Teague,0.44273127753303965
Jeff Withey,0.5339805825242718
Jerami Grant,0.4634146341463415
Jeremy Lamb,0.46028513238289204
Jeremy Lin,0.4375
Jerian Grant,0.42524916943521596
Jerryd Bayless,0.34375
Jimmy Butler,0.45527156549520764
Joakim Noah,0.4900990099009901
Jodie Meeks,0.40234375
Joe Harris,0.425414364640884
Joe Ingles,0.4523281596452328
Joe Johnson,0.4368
Joe Young,0.3611111111111111
Joel Anthony,0.625
Joel Bolomboy,0.5625
Joel Embiid,0.4662004662004662
Joffrey Lauvergne,0.4417910447761194
John Henson,0.5129032258064516
John Jenkins,0.4
John Lucas III,0.25
John Wall,0.4511854951185495
Johnny O'Bryant III,0.5
Jon Leuer,0.4806800618238022
Jonas Jerebko,0.4351145038167939
Jonas Valanciunas,0.5569800569800569
Jonathan Gibson,0.3684210526315789
Jonathon Simmons,0.42042755344418054
Jordan Clarkson,0.4462114125350795
Jordan Crawford,0.481651376146789
Jordan Farmar,0.3333333333333333
Jordan Hill,0.38461538461538464
Jordan McRae,0.38666666666666666
Jordan Mickey,0.4411764705882353
Jose Calderon,0.41044776119402987
Josh Huestis,0.5454545454545454
Josh McRoberts,0.3728813559322034
Josh Richardson,0.3937621832358674
Jrue Holiday,0.45302013422818793
Juancho Hernangomez,0.452914798206278
Julius Randle,0.4870801033591731
Justin Anderson,0.42660550458715596
Justin Hamilton,0.45910290237467016
Justin Harper,0.4166666666666667
Justin Holiday,0.43308550185873607
Justise Winslow,0.35398230088495575
Jusuf Nurkic,0.5074906367041199
KJ McDaniels,0.45294117647058824
Karl-Anthony Towns,0.5422582826233941
Kawhi Leonard,0.4847560975609756
Kay Felder,0.3924050632911392
Kelly Olynyk,0.5108055009823183
Kelly Oubre Jr.,0.4198645598194131
Kemba Walker,0.44314266023432114
Kenneth Faried,0.5493975903614458
Kent Bazemore,0.4085872576177285
Kentavious Caldwell-Pope,0.39870689655172414
Kevin Durant,0.5370370370370371
Kevin Love,0.42675893886966554
Kevin Seraphin,0.5505050505050505
Kevon Looney,0.5233644859813084
Khris Middleton,0.45045045045045046
Klay Thompson,0.4680232558139535
Kosta Koufos,0.5510204081632653
Kris Dunn,0.3769968051118211
Kris Humphries,0.40654205607476634
Kristaps Porzingis,0.449746192893401
Kyle Anderson,0.4449760765550239
Kyle Korver,0.4649805447470817
Kyle Lowry,0.46405228758169936
Kyle O'Quinn,0.5205811138014528
Kyle Singler,0.40963855421686746
Kyle Wiltjer,0.2857142857142857
Kyrie Irving,0.4725352112676056
LaMarcus Aldridge,0.47664442326024786
Lamar Patterson,0.2
Lance Stephenson,0.45
Lance Thomas,0.3975409836065574
Langston Galloway,0.3798165137614679
Larry Nance Jr.,0.5234159779614325
Larry Sanders,0.25
Lavoy Allen,0.4583333333333333
LeBron James,0.5476190476190477
Leandro Barbosa,0.43765903307888043
Lou Williams,0.4278557114228457
Luc Mbah a Moute,0.5052910052910053
Lucas Nogueira,0.6602564102564102
Luis Scola,0.47019867549668876
Luke Babbitt,0.40213523131672596
Luol Deng,0.38588235294117645
Malachi Richardson,0.4117647058823529
Malcolm Brogdon,0.45741324921135645
Malcolm Delaney,0.37467700258397935
Malik Beasley,0.4520547945205479
Manny Harris,0.23076923076923078
Manu Ginobili,0.3895216400911162
Marc Gasol,0.4586206896551724
Marcelo Huertas,0.36764705882352944
Marcin Gortat,0.5786350148367952
Marco Belinelli,0.4292682926829268
Marcus Georges-Hunt,0.2857142857142857
Marcus Morris,0.41807348560079444
Marcus Smart,0.35962566844919786
Marcus Thornton,0.4
Mario Hezonja,0.35454545454545455
Markieff Morris,0.4566929133858268
Marquese Chriss,0.44936708860759494
Marreese Speights,0.4468864468864469
Marshall Plumlee,0.5517241379310345
Marvin Williams,0.422475106685633
Mason Plumlee,0.5344
Matt Barnes,0.39112050739957716
Matthew Dellavedova,0.3895131086142322
Maurice Harkless,0.5024
Maurice Ndour,0.4642857142857143
Metta World Peace,0.27941176470588236
Meyers Leonard,0.38522427440633245
Michael Beasley,0.5333333333333333
Michael Carter-Williams,0.3660130718954248
Michael Gbinije,0.1
Michael Kidd-Gilchrist,0.4773462783171521
Mike Conley,0.45986124876114964
Mike Dunleavy,0.42272727272727273
Mike Miller,0.391304347826087
Mike Muscala,0.5044510385756676
Mike Scott,0.29310344827586204
Mike Tobey,0.25
Miles Plumlee,0.4782608695652174
Mindaugas Kuzminskas,0.42934782608695654
Mirza Teletovic,0.37320574162679426
Monta Ellis,0.44344703770197486
Montrezl Harrell,0.6521739130434783
Myles Turner,0.5103448275862069
Nemanja Bjelica,0.4241573033707865
Nene Hilario,0.6171284634760705
Nerlens Noel,0.5935483870967742
Nick Collison,0.6086956521739131
Nick Young,0.43037974683544306
Nicolas Batum,0.40349075975359344
Nicolas Brussino,0.36879432624113473
Nicolas Laprovittola,0.425531914893617
Nik Stauskas,0.39652448657187994
Nikola Jokic,0.5771028037383178
Nikola Mirotic,0.41346153846153844
Nikola Vucevic,0.4675701839303001
Noah Vonleh,0.48148148148148145
Norman Powell,0.4477317554240631
Norris Cole,0.3076923076923077
Okaro White,0.3793103448275862
Omer Asik,0.47692307692307695
Omri Casspi,0.4666666666666667
Otto Porter Jr.,0.5155666251556662
P.J. Tucker,0.41372141372141374
Pascal Siakam,0.5024390243902439
Pat Connaughton,0.5138888888888888
Patricio Garino,0.0
Patrick Beverley,0.4198895027624309
Patrick McCaw,0.4326530612244898
Patrick Patterson,0.4010416666666667
Patty Mills,0.4396135265700483
Pau Gasol,0.5016556291390728
Paul George,0.46142433234421365
Paul Millsap,0.44238683127572015
Paul Pierce,0.4
Paul Zipser,0.39819004524886875
Pierre Jackson,0.3333333333333333
Quincy Acy,0.4117647058823529
Quinn Cook,0.5076923076923077
RJ Hunter,0.0
Rajon Rondo,0.40819964349376114
Rakeem Christmas,0.4523809523809524
Ramon Sessions,0.38022813688212925
Randy Foye,0.3630769230769231
Rashad Vaughn,0.36538461538461536
Raul Neto,0.44565217391304346
Raymond Felton,0.42996108949416345
Reggie Bullock,0.421875
Reggie Jackson,0.4194977843426883
Reggie Williams,0.34782608695652173
Richard Jefferson,0.446064139941691
Richaun Holmes,0.558252427184466
Ricky Rubio,0.4027777777777778
Robert Covington,0.39836289222373805
Robin Lopez,0.49290322580645163
Rodney Hood,0.40902255639097745
Rodney McGruder,0.4139433551198257
Rodney Stuckey,0.3729508196721312
Ron Baker,0.3778801843317972
Rondae Hollis-Jefferson,0.4343807763401109
Ronnie Price,0.16666666666666666
Roy Hibbert,0.54421768707483
Rudy Gay,0.45475113122171945
Rudy Gobert,0.6629213483146067
Russell Westbrook,0.4247422680412371
Ryan Anderson,0.4191461836998706
Ryan Kelly,0.2857142857142857
Salah Mejri,0.6423357664233577
Sam Dekker,0.4731934731934732
Sasha Vujacic,0.3088235294117647
Sean Kilpatrick,0.41553133514986373
Semaj Christon,0.34375
Serge Ibaka,0.47963340122199594
Sergio Rodriguez,0.3917910447761194
Seth Curry,0.48148148148148145
Shabazz Muhammad,0.4816053511705686
Shabazz Napier,0.3989071038251366
Shaun Livingston,0.5509554140127388
Shawn Long,0.5648148148148148
Sheldon McClellan,0.4
