shoot_player,date,shot_per_game
Aaron Gordon,2017-04-08,13
Aaron Gordon,2017-04-10,6
Aaron Gordon,2017-04-12,20
Aaron Harrison,2016-11-07,1
Aaron Harrison,2016-11-21,1
Aaron Harrison,2016-11-28,1
Aaron Harrison,2016-11-29,1
Adreian Payne,2016-11-05,3
Adreian Payne,2016-11-09,1
Adreian Payne,2016-11-13,5
Adreian Payne,2016-11-15,6
Adreian Payne,2016-11-17,5
Adreian Payne,2016-11-19,4
Adreian Payne,2016-11-23,4
Adreian Payne,2016-12-09,6
Adreian Payne,2016-12-11,3
Adreian Payne,2016-12-25,1
Adreian Payne,2017-02-01,1
Adreian Payne,2017-03-25,2
Adreian Payne,2017-04-01,4
Adreian Payne,2017-04-04,8
Adreian Payne,2017-04-06,1
Al Horford,2016-10-26,8
Al Horford,2016-10-27,9
Al Horford,2016-10-29,10
Al Horford,2016-11-19,12
Al Horford,2016-11-21,20
Al Horford,2016-11-23,12
Al Horford,2016-11-25,13
Al Horford,2016-11-30,5
Al Horford,2016-12-02,18
Al Horford,2016-12-03,10
Al Horford,2016-12-05,22
Al Horford,2016-12-07,9
Al Horford,2016-12-09,14
Al Horford,2016-12-11,17
Al Horford,2016-12-14,12
Al Horford,2016-12-16,11
Al Horford,2016-12-18,16
Al Horford,2016-12-20,19
Al Horford,2016-12-22,12
Al Horford,2016-12-23,17
Al Horford,2016-12-25,13
Al Horford,2016-12-27,14
Al Horford,2016-12-29,9
Al Horford,2016-12-30,12
Al Horford,2017-01-03,16
Al Horford,2017-01-06,15
Al Horford,2017-01-07,18
Al Horford,2017-01-10,11
Al Horford,2017-01-11,12
Al Horford,2017-01-13,8
Al Horford,2017-01-16,14
Al Horford,2017-01-18,14
Al Horford,2017-01-21,13
Al Horford,2017-01-24,12
Al Horford,2017-01-25,15
Al Horford,2017-01-30,10
Al Horford,2017-02-01,13
Al Horford,2017-02-03,11
Al Horford,2017-02-05,13
Al Horford,2017-02-08,8
Al Horford,2017-02-09,12
Al Horford,2017-02-11,9
Al Horford,2017-02-13,12
Al Horford,2017-02-15,8
Al Horford,2017-02-16,10
Al Horford,2017-02-24,5
Al Horford,2017-02-26,11
Al Horford,2017-02-27,9
Al Horford,2017-03-01,6
Al Horford,2017-03-03,12
Al Horford,2017-03-08,8
Al Horford,2017-03-10,11
Al Horford,2017-03-12,7
Al Horford,2017-03-15,12
Al Horford,2017-03-17,16
Al Horford,2017-03-19,16
Al Horford,2017-03-20,11
Al Horford,2017-03-22,10
Al Horford,2017-03-24,10
Al Horford,2017-03-26,6
Al Horford,2017-03-29,9
Al Horford,2017-03-31,11
Al Horford,2017-04-02,9
Al Horford,2017-04-05,6
Al Horford,2017-04-06,8
Al Horford,2017-04-08,15
Al Horford,2017-04-10,17
Al Horford,2017-04-12,8
Al Jefferson,2016-10-26,6
Al Jefferson,2016-10-28,5
Al Jefferson,2016-10-29,5
Al Jefferson,2016-11-01,6
Al Jefferson,2016-11-03,8
Al Jefferson,2016-11-05,7
Al Jefferson,2016-11-07,12
Al Jefferson,2016-11-09,12
Al Jefferson,2016-11-11,9
Al Jefferson,2016-11-12,9
Al Jefferson,2016-11-16,4
Al Jefferson,2016-11-18,4
Al Jefferson,2016-11-20,5
Al Jefferson,2016-11-21,4
Al Jefferson,2016-11-23,3
Al Jefferson,2016-11-25,14
Al Jefferson,2016-11-27,17
Al Jefferson,2016-11-30,8
Al Jefferson,2016-12-04,4
Al Jefferson,2016-12-05,6
Al Jefferson,2016-12-07,7
Al Jefferson,2016-12-09,9
Al Jefferson,2016-12-10,9
Al Jefferson,2016-12-12,7
