epoch,loss,mae,mse
0,2972.82470703125,43.92340087890625,2972.82470703125
1,3046.712890625,44.7508430480957,3046.712890625
2,3004.376220703125,43.448707580566406,3004.376220703125
3,2967.0390625,43.98091506958008,2967.0390625
4,3009.001220703125,43.70669174194336,3009.001220703125
5,3044.20849609375,44.62721252441406,3044.20849609375
6,3055.468505859375,44.37775421142578,3055.468505859375
7,2922.865966796875,43.35511779785156,2922.865966796875
8,2926.176025390625,43.67119216918945,2926.176025390625
9,2940.125732421875,43.485618591308594,2940.125732421875
